"","ADMIN1Name","ADMIN1Code","ADMIN2Name","ADMIN2Code","FCG_Poor","FCG_Borderline","FCG_Acceptable","FCG_finalphase","HDDS_Phase1","HDDS_Phase2","HDDS_Phase3","HDDS_Phase4","HDDS_Phase5","HDDS_finalphase","HHS_Phase1","HHS_Phase2","HHS_Phase3","HHS_Phase4","HHS_Phase5","HHS_finalphase","LhHCSCat_NoStrategies","LhHCSCat_StressStrategies","LhHCSCat_CrisisStategies","LhHCSCat_EmergencyStrategies","LhHCSCat_finalphase","rCSI_Phase1","rCSI_Phase2","rCSI_Phase3","rCSI_finalphase"
"1","Adamawa","NG002","Madagali","NG002010",1.8,36.4,61.8,1,65.5,25.5,9.1,0,0,2,76.4,18.2,5.5,0,0,2,45.5,34.5,0,20,4,63.6,34.5,1.8,2
"2","Adamawa","NG002","Yola North","NG002020",4.5,13.6,81.8,1,72.7,22.7,0,4.5,0,2,45.5,22.7,31.8,0,0,3,72.7,18.2,0,9.1,2,36.4,50,13.6,2
"3","Adamawa","NG002","Demsa","NG002001",0,24.2,75.8,1,84.8,12.1,3,0,0,1,39.4,33.3,27.3,0,0,3,45.5,24.2,6.1,24.2,4,15.2,84.8,0,2
"4","Adamawa","NG002","Maiha","NG002011",0,11.1,88.9,1,72.2,22.2,5.6,0,0,2,38.9,27.8,33.3,0,0,3,61.1,11.1,5.6,22.2,4,5.6,5.6,88.9,3
"5","Adamawa","NG002","Yola South","NG002021",0,18.4,81.6,1,89.8,8.2,2,0,0,1,87.8,8.2,4.1,0,0,1,65.3,16.3,2,16.3,2,83.7,12.2,4.1,1
"6","Adamawa","NG002","Fufore","NG002002",1.9,18.9,79.2,1,73.6,18.9,5.7,1.9,0,2,56.6,28.3,15.1,0,0,2,66,17,1.9,15.1,2,17,83,0,2
"7","Adamawa","NG002","Mayo-Belwa","NG002012",0,20,80,1,95,5,0,0,0,1,75,20,5,0,0,2,45,20,5,30,4,60,40,0,2
"8","Adamawa","NG002","Ganye","NG002003",2.6,7.7,89.7,1,87.2,12.8,0,0,0,1,74.4,20.5,5.1,0,0,2,59,23.1,0,17.9,2,61.5,28.2,10.3,2
"9","Adamawa","NG002","Michika","NG002013",0,9.2,90.8,1,93.4,6.6,0,0,0,1,42.1,25,32.9,0,0,3,56.6,22.4,3.9,17.1,2,25,64.5,10.5,2
"10","Adamawa","NG002","Gombi","NG002004",0,3.4,96.6,1,96.6,3.4,0,0,0,1,0,27.6,69,3.4,0,3,62.1,13.8,3.4,20.7,4,0,17.2,82.8,3
"11","Adamawa","NG002","Mubi North","NG002014",0,6.5,93.5,1,96.8,3.2,0,0,0,1,38.7,19.4,41.9,0,0,3,48.4,25.8,0,25.8,4,0,25.8,74.2,3
"12","Adamawa","NG002","Girei","NG002005",7.1,50,42.9,2,42.9,42.9,14.3,0,0,2,50,7.1,42.9,0,0,3,57.1,35.7,0,7.1,2,50,28.6,21.4,3
"13","Adamawa","NG002","Mubi South","NG002015",0,0,100,1,95.7,4.3,0,0,0,1,21.7,43.5,34.8,0,0,3,39.1,34.8,0,26.1,4,0,26.1,73.9,3
"14","Adamawa","NG002","Guyuk","NG002006",10.8,48.6,40.5,3,40.5,18.9,32.4,8.1,0,3,70.3,21.6,8.1,0,0,2,27,40.5,0,32.4,4,10.8,73,16.2,2
"15","Adamawa","NG002","Numan","NG002016",0,31.6,68.4,1,84.2,15.8,0,0,0,1,68.4,15.8,15.8,0,0,2,57.9,21.1,0,21.1,4,26.3,73.7,0,2
"16","Adamawa","NG002","Hong","NG002007",0,7.4,92.6,1,81.5,18.5,0,0,0,1,11.1,11.1,77.8,0,0,3,44.4,14.8,0,40.7,4,0,14.8,85.2,3
"17","Adamawa","NG002","Shelleng","NG002017",0,27.6,72.4,1,93.1,3.4,3.4,0,0,1,65.5,27.6,6.9,0,0,2,44.8,27.6,3.4,24.1,4,31,69,0,2
